HASC,ISO,FIPS,RegionCode,Provinces,NumAffected,NumHealing,NumRecovered,NumsDead
VN.HI,HN,VM44,1,Hà Nội,945,407,518,20
VN.HG,3,VM50,2,Hà Giang,4,1,3,0
VN.CB,4,VM05,4,Cao Bằng,0,0,0,0
VN.BK,53,VM72,6,Bắc Kạn,6,6,0,0
VN.TQ,7,VM68,8,Tuyên Quang,1,0,1,0
VN.LO,2,VM90,10,Lào Cai,9,7,2,0
VN.DB,71,VM92,11,Điện Biên,59,7,52,0
VN.LI,1,VM89,12,Lai Châu,1,0,1,0
VN.SL,5,VM32,14,Sơn La,1,1,0,0
VN.YB,6,VM70,15,Yên Bái,5,0,5,0
VN.HO,14,VM53,17,Hoà Bình,40,7,33,0
VN.TY,69,VM85,19,Thái Nguyên,9,1,8,0
VN.LS,9,VM39,20,Lạng Sơn,117,96,20,1
VN.QN,13,VM30,22,Quảng Ninh,104,17,87,0
VN.BG,54,VM71,24,Bắc Giang,5951,2347,3592,12
VN.PT,68,VM83,25,Phú Thọ,8,3,5,0
VN.VC,70,VM86,26,Vĩnh Phúc,133,83,50,0
VN.BN,56,VM74,27,Bắc Ninh,1728,675,1042,11
VN.HD,61,VM79,30,Hải Dương,817,13,804,0
VN.HP,HP,VM13,31,Hải Phòng,33,21,12,0
VN.HY,66,VM81,33,Hưng Yên,273,205,68,0
VN.TB,20,VM35,34,Thái Bình,78,22,56,0
VN.HM,63,VM80,35,Hà Nam,65,15,50,0
VN.ND,67,VM82,36,Nam Định,31,13,18,0
VN.NB,18,VM59,37,Ninh Bình,54,17,37,0
VN.TH,21,VM34,38,Thanh Hóa,78,52,26,0
VN.NA,22,VM58,40,Nghệ An,163,157,5,1
VN.HT,23,VM52,42,Hà Tĩnh,139,118,20,1
VN.QB,24,VM62,44,Quảng Bình,1,1,0,0
VN.QT,25,VM64,45,Quảng Trị,18,5,12,1
VN.TT,26,VM66,46,Thừa Thiên Huế,13,7,6,0
VN.DA,DN,VM78,48,Đà Nẵng,958,307,617,34
VN.QM,27,VM84,49,Quảng Nam,166,40,123,3
VN.QG,29,VM63,51,Quảng Ngãi,219,211,8,0
VN.BD,31,VM46,52,Bình Định,53,52,1,0
VN.PY,32,VM61,54,Phú Yên,732,704,28,0
VN.KH,34,VM54,56,Khánh Hòa,771,643,128,0
VN.NT,36,VM60,58,Ninh Thuận,50,38,12,0
VN.BU,40,VM47,60,Bình Thuận,126,115,11,0
VN.KT,28,VM55,62,Kon Tum,0,0,0,0
VN.GL,30,VM49,64,Gia Lai,41,14,27,0
VN.DC,33,VM88,66,Đắk Lắk,14,10,4,0
VN.DO,72,VM91,67,Đắk Nông,13,13,0,0
VN.LD,35,VM23,68,Lâm Đồng,19,19,0,0
VN.BP,58,VM76,70,Bình Phước,93,93,0,0
VN.TN,37,VM33,72,Tây Ninh,257,205,51,1
VN.BI,57,VM75,74,Bình Dương,3077,3029,45,3
VN.DN,39,VM43,75,Đồng Nai,1005,971,32,2
VN.BV,43,VM45,77,Bà Rịa - Vũng Tàu,341,214,127,0
VN.HC,SG,VM20,79,Hồ Chí Minh,34408,33593,692,123
VN.LA,41,VM24,80,Long An,744,723,11,10
VN.TG,46,VM37,82,Tiền Giang,895,889,5,1
VN.BR,50,VM03,83,Bến Tre,217,199,18,0
VN.TV,51,VM67,84,Trà Vinh,87,79,8,0
VN.VL,49,VM69,86,Vĩnh Long,381,368,13,0
VN.DT,45,VM09,87,Đồng Tháp,1332,1284,27,21
VN.AG,44,VM01,89,An Giang,171,161,9,1
VN.KG,47,VM21,91,Kiên Giang,163,136,27,0
VN.CN,CT,VM87,92,Cần Thơ,145,110,35,0
VN.HU,73,VM93,93,Hậu Giang,47,47,0,0
VN.ST,52,VM65,94,Sóc Trăng,60,60,0,0
VN.BL,55,VM73,95,Bạc Liêu,65,12,53,0
VN.CM,59,VM77,96,Cà Mau,26,18,8,0
